YEAR,MONTH,MEAN,MIN,MAX,yearly,MIN,MAX,UHII MONTHLY,UHII YEARLY,YEAR,11,MEAN,MIN,MAX,yearly,MIN,MAX
,July,32.9,30.17,35.37,,,,1.47,,,July,31.46,28.97,33.97,,,
,August,34.3,30.45,37.08,,,,1.44,,,August,32.88,29.34,36.38,,,
,September,32.9,30.08,35.5,,,,1.86,,,September,31.01,28.7,34.82,,,
,October,31.7,29.54,33.64,,,,1.17,,,October,30.49,28.49,32.85,,,
,November,27.5,25.69,28.55,,,,0.08,,,November,27.44,25.51,28.81,,,
,December,20.1,12.33,22.46,,,,0.84,,,December,19.29,17.11,22.69,,,
2015,January,19.8,16.55,21.63,31.89,28.76,34.32,1.48,0.85,2015,January,18.29,15.93,21.11,31.04,27.76,34.5
,February,26.2,23.8,28.7,,,,1.62,,,February,24.54,22.51,28.42,,,
,March,32.4,29.44,34.35,,,,1.72,,,March,30.65,29.09,33.58,,,
,April,36.2,34.17,38.01,,,,0.62,,,April,35.61,32.37,37.55,,,
,May,38.8,36.67,40.07,,,,0.14,,,May,38.64,33.33,43.4,,,
,June,39.2,35.52,43.71,,,,-0.91,,,June,40.11,35.08,47.73,,,
,July,35,31.14,38.12,,,,1.53,,,July,33.43,31.01,36.47,,,
,August,34,30.01,37.41,,,,1.43,,,August,32.52,29.07,35.86,,,
,September,35.5,31.81,37.16,,,,1.54,,,September,33.92,30.37,37.17,,,
,October,34.2,31.76,36.09,,,,0.79,,,October,33.38,30.44,36.09,,,
,November,30,27.47,32.33,,,,0.16,,,November,29.79,26.58,32.33,,,
,December,21.7,16.77,24.27,,,,0.08,,,December,21.6,17.31,24.27,,,
2016,January,22.6,18.89,28.93,31.58083333,28.55,34.32,0.39,0.72,2016,January,22.18,18.89,28.25,30.86333333,27.41,34.17
,February,28,24.58,30.33,,,,1.36,,,February,26.59,24.16,30.5,,,
,March,34.6,32.03,36.74,,,,1.56,,,March,33.04,30.19,36.71,,,
,April,39.4,37.81,41.15,,,,0.02,,,April,39.4,35.72,41.24,,,
,May,37.8,34.32,39.21,,,,-0.19,,,May,37.94,34.78,43.84,,,
,June,36.7,34.42,38.75,,,,0.47,,,June,36.24,32.56,38.96,,,
,July,32.9,28.69,35.75,,,,1.67,,,July,31.25,29.73,33.43,,,
,August,33.9,26.51,38.87,,,,1.43,,,August,32.5,22.05,36.12,,,
,September,31.8,29.95,35.9,,,,1.31,,,September,30.45,26.65,35.05,,,
,October,31.8,29.48,33.24,,,,0.64,,,October,31.15,29.05,32.68,,,
,November,27.4,25.76,28.46,,,,0.01,,,November,27.4,25.64,28.46,,,
,December,22.2,20.15,24.47,,,,-0.06,,,December,22.22,19.48,24.84,,,
2017,January,21.9,19.66,24.24,31.8375,28.82,34.19,0.66,0.66,2017,January,21.22,19.45,24.24,31.18166667,27.72,34.23
,February,27.4,25.39,28.82,,,,1.46,,,February,25.9,23.56,28.97,,,
,March,33.6,31.1,35.15,,,,1.51,,,March,32.13,29.19,35.34,,,
,April,38.2,35.6,39.6,,,,0.17,,,April,38,33.9,40.52,,,
,May,38.5,35.23,41.44,,,,-0.18,,,May,38.66,33.73,40.76,,,
,June,38,35.48,40.14,,,,-0.92,,,June,38.91,35.15,45.61,,,
,July,36.2,32.37,39.01,,,,1.01,,,July,35.23,32.37,36.95,,,
,August,31.6,25.99,35.59,,,,1.58,,,August,30.04,20.55,33.57,,,
,September,33.1,29.43,35.65,,,,1.62,,,September,31.49,29.06,34.58,,,
,October,32.3,29.6,33.92,,,,0.7,,,October,31.55,29.6,33.96,,,
,November,27.9,25.78,30.12,,,,0.18,,,November,27.7,25.78,29.24,,,
,December,23.4,20.26,26.55,,,,0.08,,,December,23.35,20.26,27.05,,,
2018,January,21.9,18.84,25.59,31.82666667,27.9,33.85,0.92,0.71,2018,January,20.98,18.14,25.57,31.11416667,27.55,34.62
,February,27.8,25.52,29.51,,,,1.55,,,February,26.23,23.4,29.51,,,
,March,35,32.51,36.47,,,,1.6,,,March,33.44,30.8,36.53,,,
,April,37.5,34.42,39.54,,,,0.58,,,April,36.89,33.08,40.15,,,
,May,37.2,34.62,37.11,,,,-0.09,,,May,37.26,33.52,40.21,,,
,June,37.1,32.82,39.31,,,,-0.69,,,June,37.83,33.74,43.77,,,
,July,36.9,32.01,40.31,,,,0.4,,,July,36.45,32.01,41.59,,,
,August,32.3,19.93,34.91,,,,1.64,,,August,30.64,21.85,34.41,,,
,September,33.2,28.99,35.04,,,,1.73,,,September,31.42,29.02,34.33,,,
,October,32.4,29.47,33.53,,,,0.71,,,October,31.66,29.34,33.76,,,
,November,28,25.6,29.34,,,,0.05,,,November,27.98,25.72,29.31,,,
,December,22.7,20.04,25.53,,,,0.15,,,December,22.59,20.04,26.35,,,
